timestamp,direction_available_count,direction_unavailable_count,forward_zero_neighbor_count,forward_zero_neighbor_fraction,forward_zero_neighbor_count_rate,forward_zero_neighbor_fraction_rate,surface_count_ma,surface_fraction_ma,surface_robot_id_retention_fraction,surface_robot_new_fraction,evaluation_only_sph_phase,evaluation_only_gt_distance_to_opening_boundary,evaluation_only_front_cohort_center_distance_to_opening_boundary,evaluation_only_observed_cohort_center_distance_to_opening_boundary,evaluation_only_frontmost_progress_distance_to_opening_boundary,lateral_variance,lateral_expansion_ratio,lateral_expansion_dwell,cheap_lidar_free_angular_fraction
0.11666666666666665,502,178,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,46.040033414858215,66.99843954653,34.510033986822066,501.75220172111653,1.0,0.0,0.7277777777777777
0.21666666666666665,511,169,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,45.92779799457867,66.89070743605288,35.72400308480201,483.249908647001,0.9631246399903205,0.0,0.7277777777777777
0.31666666666666665,510,170,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,46.72744814202423,66.68425617991801,37.48167884285232,450.99943194299584,0.9000105220059839,0.0,0.7277777777777777
0.41666666666666663,510,170,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,47.32399781288933,66.4625074192652,39.01385689615398,420.1696774968605,0.8414316345126897,0.0,0.7277777777777777
0.5166666666666666,510,170,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,47.43564484339453,66.10993593512768,39.82048599444619,390.9976439310964,0.7873816148655368,0.0,0.7305555555555555
0.6166666666666669,512,168,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,47.22672447164848,65.46944797957423,40.14785027573026,365.20376704142143,0.7409524322039106,0.0,0.7277777777777777
0.7166666666666672,512,168,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,SPH_CORRIDOR,97.98000000000002,46.5272565467252,64.70254750650929,39.69981586605729,350.6293001280437,0.7178915572020667,0.0,0.7277777777777777
0.8166666666666675,512,168,3,0.005859375,29.999999999999908,0.05859374999999982,1.0,0.001953125,1.0,1.0,SPH_CORRIDOR,97.98000000000002,45.1286881074779,63.78492093167682,37.49950745992021,348.7076752040017,0.7210769163946397,0.0,0.7277777777777777
0.9166666666666679,512,168,4,0.0078125,9.99999999999997,0.01953124999999994,2.3333333333333335,0.004557291666666667,1.0,0.25,SPH_CORRIDOR,97.98000000000002,41.77043111466611,61.80059080367704,32.66003622909676,358.02931011740753,0.7476515102012855,0.0,0.7277777777777777
1.016666666666668,512,168,7,0.013671875,29.999999999999975,0.05859374999999995,4.666666666666667,0.009114583333333334,1.0,0.42857142857142855,SPH_CORRIDOR,97.98000000000002,35.31710166057286,58.02310846767301,24.7430700284242,377.8202930485591,0.7960103741565956,0.0,0.7277777777777777
1.1166666666666676,512,168,5,0.009765625,-20.00000000000007,-0.03906250000000014,5.333333333333333,0.010416666666666666,0.42857142857142855,0.4,SPH_CORRIDOR,97.98000000000002,26.413202061971788,52.904083040751175,14.147205910303057,406.900560893812,0.8634427805274661,0.0,0.7277777777777777
1.2166666666666672,512,168,4,0.0078125,-10.000000000000036,-0.01953125000000007,5.333333333333333,0.010416666666666666,0.4,0.5,SPH_CORRIDOR,97.98000000000002,17.54534004965626,47.71311857401571,3.354806377241516,439.8210152734655,0.9377820998168748,0.0,0.7277777777777777
1.3166666666666669,512,168,2,0.00390625,-20.00000000000007,-0.03906250000000014,3.6666666666666665,0.007161458333333333,0.5,0.0,SPH_OPENING_APPROACH,97.98000000000002,10.602545776707586,43.601069556707614,5.419648416261623,471.9643153817189,1.0085138989197984,0.0,0.7277777777777777
1.4166666666666665,512,168,6,0.01171875,40.00000000000014,0.07812500000000028,4.0,0.0078125,1.0,0.6666666666666666,SPH_OPENING_APPROACH,97.98000000000002,6.204241409113763,41.016726639926674,13.109379322275913,500.6219821218461,1.0697508489944128,0.0,0.7277777777777777
1.5166666666666662,512,168,5,0.009765625,-10.000000000000036,-0.01953125000000007,4.333333333333333,0.008463541666666666,0.6666666666666666,0.2,SPH_OPENING_APPROACH,97.98000000000002,3.754373661528348,39.64378075768303,19.703104022657385,522.65682267628,1.1168358557107678,0.0,0.7277777777777777
1.6166666666666658,507,172,4,0.007889546351084813,-10.000000000000036,-0.018760786489151936,5.0,0.00979130711702827,0.8,0.0,SPH_OPENING_APPROACH,97.98000000000002,2.161050261846299,38.845276732761704,24.055557032910485,539.9238377579582,1.1537327653609095,0.0,0.7277777777777777
1.7166666666666655,510,169,4,0.00784313725490196,0.0,-0.00046409096182852504,4.333333333333333,0.008499436201995591,0.75,0.25,SPH_OPENING_APPROACH,97.98000000000002,0.6319935411283382,38.094659388391165,27.169424563151722,552.4224993302115,1.1804404496130918,0.0,0.7305555555555555
1.816666666666665,509,170,8,0.015717092337917484,40.00000000000014,0.07873955083015552,5.333333333333333,0.010483258647968086,1.0,0.5,SPH_OPENING_APPROACH,97.98000000000002,1.2222852800272221,37.164800159746164,30.652033824450484,563.2202626488678,1.203513580418127,0.0,0.7277777777777777
1.9166666666666647,511,168,6,0.011741682974559686,-20.00000000000007,-0.03975409363357812,6.0,0.011767304189126379,0.75,0.0,SPH_OPENING_APPROACH,97.98000000000002,3.2614767995546003,36.07809448882307,34.638262671302755,574.5600665106501,1.2277449670567169,0.0,0.7277777777777777
2.0166666666666644,511,168,6,0.011741682974559686,0.0,0.0,6.666666666666667,0.013066819429012286,0.8333333333333334,0.16666666666666666,SPH_OPENING_APPROACH,97.98000000000002,5.3059131482691555,34.9558583754108,38.49818582960245,587.0798389798381,1.2544977619926592,0.0,0.7277777777777777
2.116666666666664,511,168,5,0.009784735812133072,-10.000000000000036,-0.019569471624266213,5.666666666666667,0.011089367253750815,0.8333333333333334,0.0,SPH_OPENING_APPROACH,97.98000000000002,7.253769559528564,33.9042492678235,41.83422811164263,600.5102565411711,1.2831964630119217,0.09999999999999964,0.7277777777777777
2.2166666666666637,510,169,7,0.013725490196078431,20.00000000000007,0.03940754383945373,6.0,0.011750636327590396,1.0,0.2857142857142857,SPH_OPENING_APPROACH,97.98000000000002,9.051889456429478,32.77256880792021,44.625173051671936,612.6972809593204,1.309238227424212,0.1999999999999993,0.7277777777777777
2.3166666666666633,509,170,7,0.0137524557956778,0.0,0.0002696559959936884,6.333333333333333,0.012420893934629767,0.8571428571428571,0.14285714285714285,SPH_OPENING_APPROACH,97.98000000000002,10.687288731738477,31.739854284842522,47.01741149414676,626.2615189033213,1.3382228816638364,0.29999999999999893,0.7277777777777777
2.416666666666663,498,181,7,0.014056224899598393,0.0,0.003037691039205943,7.0,0.013844723630451541,1.0,0.0,SPH_OPENING_APPROACH,97.98000000000002,12.216182402164236,30.27747992427703,49.12382832219532,637.4327182447147,1.362093986822045,0.3999999999999986,0.7277777777777777
2.5166666666666626,483,196,8,0.016563146997929608,10.000000000000036,0.025069220983312237,7.333333333333333,0.0147906092310686,1.0,0.125,SPH_OPENING_APPROACH,97.98000000000002,13.685547870861853,28.624547957181505,51.05117598481718,651.743458775255,1.392673800292078,0.4999999999999982,0.7277777777777777
2.6166666666666623,501,178,7,0.013972055888223553,-10.000000000000036,-0.025910911097060646,7.333333333333333,0.014863809261917186,0.75,0.14285714285714285,SPH_OPENING_APPROACH,97.98000000000002,15.10646934434078,26.42167420394702,52.937450706584286,671.5862888512968,1.4350748235758122,0.5999999999999979,0.7305555555555555
2.716666666666662,492,187,7,0.014227642276422764,0.0,0.002555863881992119,7.333333333333333,0.014920948387525309,0.8571428571428571,0.14285714285714285,SPH_OPENING_APPROACH,97.98000000000002,16.499777514154346,24.16279467617545,54.86863574738459,693.8133060333823,1.4825704816777017,0.6999999999999975,0.7277777777777777
2.8166666666666615,476,203,5,0.01050420168067227,-20.00000000000007,-0.03723440595750507,6.333333333333333,0.012901299948439528,0.7142857142857143,0.0,SPH_OPENING_APPROACH,97.98000000000002,17.83318179079845,21.64254412269827,56.83079386701144,716.3699991131706,1.53077060559223,0.7999999999999972,0.7277777777777777
2.916666666666661,476,203,8,0.01680672268907563,30.000000000000107,0.06302521008403382,6.666666666666667,0.013846188882056886,1.0,0.375,SPH_OPENING_APPROACH,97.98000000000002,19.105018473946018,19.527046138675928,58.83360667157922,741.3038661484653,1.5840503783194861,0.8999999999999968,0.7277777777777777
3.016666666666661,473,206,10,0.021141649048625793,20.00000000000007,0.043349263595501786,7.666666666666667,0.016150857806124564,0.875,0.3,SPH_OPENING_APPROACH,97.98000000000002,20.27814336967714,17.285749123027756,60.87563257284279,765.1275589358802,1.6349578823757427,0.9999999999999964,0.7277777777777777
3.1166666666666605,471,208,9,0.01910828025477707,-10.000000000000036,-0.02033368793848731,9.0,0.019018883997492828,0.7,0.2222222222222222,SPH_OPENING_APPROACH,97.98000000000002,21.466173065499163,14.975859724280781,62.71775803744754,794.0864086357083,1.696838413312462,1.099999999999996,0.7277777777777777
3.21666666666666,471,208,6,0.012738853503184714,-30.000000000000107,-0.06369426751592377,8.333333333333334,0.017662927602195858,0.6666666666666666,0.0,SPH_OPENING_APPROACH,97.98000000000002,22.599346833304253,12.922849884213349,64.54457697761728,819.6897185094617,1.751548680645167,1.1999999999999957,0.7277777777777777
3.3166666666666598,463,216,7,0.01511879049676026,10.000000000000036,0.02379936993575554,7.333333333333333,0.015655308084907348,0.8333333333333334,0.2857142857142857,SPH_OPENING_APPROACH,97.98000000000002,23.695467221888407,10.40616608560623,66.42818234383964,852.8156383672693,1.8223335885339815,1.2999999999999954,0.7277777777777777
3.4166666666666594,464,215,9,0.01939655172413793,20.00000000000007,0.04277761227377687,7.333333333333333,0.015751398574694302,1.0,0.2222222222222222,SPH_OPENING_APPROACH,97.98000000000002,24.76352812967997,8.854929706568043,68.29079961920104,879.0260693226272,1.8783411786285356,1.399999999999995,0.7277777777777777
3.516666666666659,458,221,10,0.021834061135371178,10.000000000000036,0.02437509411233255,8.666666666666666,0.01878313445208979,1.0,0.1,SPH_OPENING_APPROACH,97.98000000000002,25.74611591649699,7.002902097436902,70.00584540330158,911.8990072298346,1.9485855036702129,1.4999999999999947,0.7277777777777777
3.6166666666666587,463,216,8,0.017278617710583154,-20.00000000000007,-0.045554434247880395,9.0,0.01950307685669742,0.8,0.0,SPH_OPENING_APPROACH,97.98000000000002,26.735684057625974,4.9691257406809655,71.5314183718184,948.5322698577912,2.026865054303596,1.5999999999999943,0.7305555555555555
3.7166666666666583,468,211,8,0.017094017094017096,0.0,-0.0018460061656605932,8.666666666666666,0.01873556531332381,1.0,0.0,SPH_OPENING_APPROACH,97.98000000000002,27.680491826216382,3.8601176474247154,72.95205526508221,977.4928071257183,2.088749191309308,1.699999999999994,0.7305555555555555
3.816666666666658,473,206,8,0.016913319238900635,0.0,-0.0018069785511646143,8.0,0.01709531801450029,0.875,0.125,SPH_OPENING_APPROACH,97.98000000000002,28.563026657495186,2.289931021651171,74.38324478387966,1014.5641160250283,2.1679647782883054,1.7999999999999936,0.7277777777777777
3.9166666666666576,472,207,10,0.0211864406779661,20.00000000000007,0.04273121439065481,8.666666666666666,0.01839792567029461,1.0,0.2,SPH_OPENING_APPROACH,97.98000000000002,29.439236671995218,1.1765471347940775,75.92063495179775,1048.9580122797388,2.2414591533510193,1.8999999999999932,0.7277777777777777
4.016666666666658,481,198,8,0.016632016632016633,-19.999999999999982,-0.045544240459494637,8.666666666666666,0.018243925516294456,0.8,0.0,SPH_OPENING_APPROACH,97.98000000000002,30.55701281783621,0.6018213782267594,77.86988996512059,1082.5127701489741,2.3131604209747008,1.9999999999999933,0.7305555555555555
