case_id,analysis_frame,segment_id,beam_start,beam_end,point_count,start_x_local,start_y_local,end_x_local,end_y_local,length,orientation_deg,fit_residual,endpoint_ids,termination_endpoint_ids
M1_PRE_CORRIDOR_BOOTSTRAP,222,0,17,87,71,-143.19027884592003,-43.77766152981879,-2.2942900229824232,-43.77766152981879,140.89598882293762,0.0,5.817827743922758e-14,"[0, 1]",[]
M1_PRE_CORRIDOR_BOOTSTRAP,222,1,124,152,29,82.32902997639657,-122.05822953182857,82.32979767705267,-43.77766149050275,78.28056804509026,89.99943809800283,0.0007879533424924566,"[2, 3]",[]
M1_PRE_CORRIDOR_BOOTSTRAP,222,2,152,163,12,82.33380663010406,-43.77766152981872,143.19027884592003,-43.77766152981872,60.85647221581597,0.0,1.1753029576857517e-14,"[3, 4]",[]
M1_PRE_CORRIDOR_BOOTSTRAP,222,3,196,206,11,82.46801508271534,40.22233847018127,140.27196414596807,40.22233847018129,57.80394906325273,2.842170943040401e-14,1.2177813669265497e-14,"[5, 6]",[]
M1_PRE_CORRIDOR_BOOTSTRAP,222,4,206,236,31,82.32100080084815,122.05822728279658,82.34316438075393,40.22230465693128,81.83592562714058,-89.98448261453274,0.023634827730959623,"[5, 7]",[]
M1_PRE_CORRIDOR_BOOTSTRAP,222,5,273,344,72,-140.27196414596816,40.22233847018125,-2.1079634367930353,40.222338470181256,138.16400070917513,0.0,1.940563631517846e-14,"[8, 9]",[9]
