experiment_id,case_id,ready_frame,first_open_frame,detection_frame,bilateral_entry_frame,brake_ready_frame,braking_start_frame,anchor_frame,anchor_x_eval_only,anchor_y_eval_only,analysis_start_frame,wall_segment_count,valid_endpoint_count,wall_termination_count,physical_gap_count,candidate_count,partial_count,complete_count,true_outgoing_recovered,gt_outgoing_count_eval_only,outgoing_recall_eval_only,incoming_candidate_count,duplicate_candidate_count,false_candidate_count,angular_opening_count,front_end_altered_samples,runtime_gt_or_map_used,fixed_anchor_transitioned,sph_runtime_integrated,dfs_integrated
EXP-049,M1_PRE_CORRIDOR_BOOTSTRAP,6,30,36,174,180,181,221,-1.777661529818736,-40.329315371814026,222,6,3,1,3,2,0,2,2,3,0.6666666666666666,0,0,0,4,0,False,False,False,False
EXP-049,M0_STRAIGHT,6,,,,,,,nan,nan,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,False,False,False,False
