seed,frontmost_crossing,front_center_crossing,lateral_sustained_onset,boundary_first_split,delta_lateral_front_center,delta_split_front_center,delta_split_vs_lateral
1,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
7,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
17,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
23,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
42,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
101,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
202,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
303,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
404,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
505,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964
