seed,sample_count,frontmost_crossing,front_center_crossing,lateral_sustained_onset,boundary_first_split,delta_lateral_front_center,delta_split_front_center,delta_split_vs_lateral,surface_peak_time,surface_peak_fraction,corridor_component_ge2_fraction,opening_component_ge2_fraction,corridor_largest_component_fraction_mean,opening_largest_component_fraction_mean
1,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
7,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
17,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
23,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
42,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
101,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
202,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
303,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
404,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
505,99,1.3166666666666669,1.816666666666665,2.116666666666664,1.1166666666666676,0.29999999999999893,-0.6999999999999975,-0.9999999999999964,3.516666666666659,0.021834061135371178,1.1666666666666667,2.2142857142857144,0.9313176132521974,0.5197229414123495
