map_case,frame,timestamp,wall_reference,range_ceiling,dynamic_span,open_threshold,open_support_count,opening_group_count,junction_detected,leader_x_eval_only,leader_y_eval_only,runtime_gt_map_used
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,45.72638587379055,150.0,104.27361412620945,103.07687364320574,119,2,True,-1.7505727250039873,-101.6910849599836,False
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,45.72837606869277,150.0,104.27162393130723,103.07776923091174,124,2,True,-1.7545429914233175,-96.70012147197242,False
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,45.7292137470375,150.0,104.2707862529625,103.07814618616688,130,2,True,-1.7562140871529783,-91.50634008540604,False
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,45.72968414116438,150.0,104.27031585883563,103.07835786352398,136,2,True,-1.7571524826858491,-86.35485790794884,False
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,45.730137748867385,150.0,104.26986225113262,103.07856198699034,142,2,True,-1.7580573907572994,-81.47257295829957,False
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,45.73075085124501,150.0,104.269249148755,103.07883788306026,150,2,True,-1.7592804768876116,-76.93573224906203,False
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,45.73204082053907,150.0,104.26795917946093,103.07941836924259,157,2,True,-1.761853853879204,-72.63658904805315,False
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,45.73398382736546,150.0,104.26601617263454,103.08029272231445,164,2,True,-1.765729984175145,-68.38789655811775,False
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,45.96152387768476,150.0,104.03847612231525,103.18268574495815,174,2,True,-1.7698811491071271,-64.04762977815983,False
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,46.43352784096477,150.0,103.56647215903523,103.39508752843415,183,2,True,-1.772917438740551,-59.581514065527564,False
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,48.68159045552778,150.0,101.31840954447222,104.4067157049875,193,2,True,-1.7749076898365133,-55.045323758019336,False
M1_PRE_CORRIDOR_55PCT,180,3.016666666666661,51.758061545985925,150.0,98.24193845401408,105.79112769569366,198,3,True,-1.7763053486121192,-50.54493105295288,False
M1_PRE_CORRIDOR_55PCT,186,3.1166666666666605,56.26920499351459,150.0,93.73079500648541,107.82114224708157,188,4,True,-1.7773359063965686,-46.1904208960077,False
M1_PRE_CORRIDOR_55PCT,192,3.21666666666666,61.260428269450685,150.0,88.73957173054932,110.06719272125281,186,4,True,-1.7780974651299388,-42.046814673710635,False
M1_PRE_CORRIDOR_55PCT,198,3.3166666666666598,65.12523740314593,150.0,84.87476259685407,111.80635683141567,184,4,True,-1.7793051396406712,-38.09849598817675,False
M1_PRE_CORRIDOR_55PCT,204,3.4166666666666594,67.87467725530055,150.0,82.12532274469945,113.04360476488526,180,4,True,-1.7823072602379486,-34.249601659474955,False
M1_PRE_CORRIDOR_55PCT,210,3.516666666666659,72.6520627990028,150.0,77.3479372009972,115.19342825955127,174,4,True,-1.787313317684953,-30.37773896583947,False
M1_PRE_CORRIDOR_55PCT,216,3.6166666666666587,76.37579910989545,150.0,73.62420089010455,116.86910959945295,172,4,True,-1.7935943820988642,-26.399827633111574,False
M1_PRE_CORRIDOR_55PCT,222,3.7166666666666583,78.5244466244078,150.0,71.4755533755922,117.83600098098351,170,4,True,-1.800155466195846,-22.30315607057944,False
M1_PRE_CORRIDOR_55PCT,228,3.816666666666658,77.63480244168917,150.0,72.36519755831083,117.43566109876014,168,4,True,-1.8062345002971665,-18.135405184606366,False
M1_PRE_CORRIDOR_55PCT,234,3.9166666666666576,76.58160706997646,150.0,73.41839293002354,116.96172318148942,172,4,True,-1.8113510601574565,-13.981047055335805,False
M1_PRE_CORRIDOR_55PCT,240,4.016666666666658,76.1946954073612,150.0,73.8053045926388,116.78761293331254,172,4,True,-1.815350823593585,-9.928032599734566,False
M1_PRE_CORRIDOR_55PCT,246,4.116666666666657,76.30058207025372,150.0,73.69941792974628,116.83526193161418,172,4,True,-1.8183502283766568,-6.027925845171469,False
M1_PRE_CORRIDOR_55PCT,252,4.216666666666657,75.82821760127658,150.0,74.17178239872342,116.62269792057447,172,4,True,-1.8207550837581985,-2.2677389563463963,False
M1_PRE_CORRIDOR_55PCT,258,4.316666666666657,75.92640851302662,150.0,74.07359148697338,116.66688383086198,170,4,True,-1.823326474573939,1.4270818585469267,False
M1_PRE_CORRIDOR_55PCT,264,4.416666666666656,76.12640863922633,150.0,73.87359136077367,116.75688388765185,170,4,True,-1.8264483557865756,5.149722046101446,False
M1_PRE_CORRIDOR_55PCT,270,4.516666666666656,76.16691718018436,150.0,73.83308281981564,116.77511273108297,170,4,True,-1.829693447035613,8.960875785536834,False
M1_PRE_CORRIDOR_55PCT,276,4.616666666666656,76.4875101991613,150.0,73.5124898008387,116.9193795896226,172,4,True,-1.8321971877937913,12.864312223474661,False
M1_PRE_CORRIDOR_55PCT,282,4.716666666666655,77.5401340628072,150.0,72.4598659371928,117.39306032826323,172,4,True,-1.833706319470546,16.81749188960111,False
M1_PRE_CORRIDOR_55PCT,288,4.816666666666655,78.28321507740951,150.0,71.71678492259049,117.72744678483429,170,4,True,-1.8343746937264964,20.754671603358656,False
M1_PRE_CORRIDOR_55PCT,294,4.9166666666666545,78.44274687867215,150.0,71.55725312132785,117.79923609540248,170,4,True,-1.8344109647202567,24.613194843298675,False
M1_PRE_CORRIDOR_55PCT,300,5.016666666666654,74.48226015929782,150.0,75.51773984070218,116.01701707168402,174,4,True,-1.833979205388548,28.357210616952422,False
M1_PRE_CORRIDOR_55PCT,306,5.116666666666654,71.00181953544784,150.0,78.99818046455216,114.45081879095153,178,4,True,-1.8332962596922764,31.994596712151807,False
M1_PRE_CORRIDOR_55PCT,312,5.2166666666666535,66.52075491759926,150.0,83.47924508240074,112.43433971291967,184,4,True,-1.8328511020770466,35.57769393913548,False
M1_PRE_CORRIDOR_55PCT,318,5.316666666666653,63.71877416268839,150.0,86.28122583731161,111.17344837320978,186,4,True,-1.8330791050619544,39.17775591101743,False
M1_PRE_CORRIDOR_55PCT,324,5.416666666666653,60.064462412372485,150.0,89.93553758762752,109.52900808556763,186,4,True,-1.8338860855548131,42.84965643581702,False
M1_PRE_CORRIDOR_55PCT,330,5.516666666666652,55.830451505868844,150.0,94.16954849413116,107.62370317764099,191,4,True,-1.8341290256982603,46.601866391816394,False
M1_PRE_CORRIDOR_55PCT,336,5.616666666666652,52.15162145405903,150.0,97.84837854594096,105.96822965432656,194,4,True,-1.8338990188362434,50.39502226430847,False
M1_PRE_CORRIDOR_55PCT,342,5.716666666666652,49.17969192920906,150.0,100.82030807079093,104.63086136814408,195,2,True,-1.8335438589710866,54.1635687908113,False
M1_PRE_CORRIDOR_55PCT,348,5.816666666666651,47.21364804800506,150.0,102.78635195199493,103.74614162160228,187,2,True,-1.833227237060522,57.848952666209065,False
M1_PRE_CORRIDOR_55PCT,354,5.916666666666651,46.30861360022637,150.0,103.69138639977362,103.33887612010187,179,2,True,-1.833045580160494,61.428790127162216,False
M1_PRE_CORRIDOR_55PCT,360,6.016666666666651,45.8525414431713,150.0,104.1474585568287,103.13364364942709,172,2,True,-1.8331459696170724,64.92912421186217,False
M1_PRE_CORRIDOR_55PCT,366,6.11666666666665,45.79381176267756,150.0,104.20618823732244,103.1072152932049,164,2,True,-1.8335867785473887,68.4088239945905,False
M1_PRE_CORRIDOR_55PCT,372,6.21666666666665,45.79441150869904,150.0,104.20558849130096,103.10748517891457,158,2,True,-1.8341608521670658,71.92632013107217,False
M1_PRE_CORRIDOR_55PCT,378,6.3166666666666496,45.794835487009664,150.0,104.20516451299034,103.10767596915434,152,2,True,-1.8345666818928648,75.51287575937918,False
M1_PRE_CORRIDOR_55PCT,384,6.416666666666649,45.79492541140143,150.0,104.20507458859856,103.10771643513064,146,2,True,-1.834652757030057,79.16432582329324,False
M1_PRE_CORRIDOR_55PCT,390,6.516666666666649,45.79482350642542,150.0,104.20517649357458,103.10767057789144,141,2,True,-1.8345552141429924,82.84940084258946,False
M1_PRE_CORRIDOR_55PCT,396,6.6166666666666485,45.79466206651036,150.0,104.20533793348963,103.10759792992965,136,2,True,-1.834400684737077,86.52419192053175,False
M1_PRE_CORRIDOR_55PCT,402,6.716666666666648,45.79448972485331,150.0,104.2055102751467,103.107520376184,113,3,True,-1.834235720243203,90.15105205520314,False
M1_PRE_CORRIDOR_55PCT,408,6.816666666666648,45.79433191849635,150.0,104.20566808150366,103.10744936332335,90,3,True,-1.834084668859273,93.71541703120357,False
M1_PRE_CORRIDOR_55PCT,414,6.916666666666647,45.79432618522464,150.0,104.20567381477537,103.1074467833511,75,1,True,-1.8340791810028827,97.2319918051631,False
M1_PRE_CORRIDOR_55PCT,420,7.016666666666647,45.79453032786582,150.0,104.20546967213417,103.10753864753963,71,1,True,-1.8342745852252555,100.73405925929545,False
M1_PRE_CORRIDOR_55PCT,426,7.116666666666647,45.79478499327612,150.0,104.20521500672388,103.10765324697425,70,1,True,-1.8345183495665998,104.25323428091595,False
M1_PRE_CORRIDOR_55PCT,432,7.216666666666646,45.79489876565428,150.0,104.20510123434572,103.10770444454442,67,1,True,-1.8346272518662574,107.80526472297903,False
