map_case,frame,timestamp,old_profile_detected,new_55pct_detected,old_open_count,new_open_support_count,new_opening_count,comparison_only
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,False,True,0,96,2,True
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,False,True,0,96,2,True
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,False,True,0,100,2,True
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,False,True,0,102,2,True
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,False,True,0,103,2,True
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,False,True,0,106,2,True
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,False,True,0,108,2,True
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,False,True,0,112,2,True
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,False,True,0,114,2,True
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,False,True,0,118,2,True
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,False,True,0,119,2,True
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,False,True,0,124,2,True
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,False,True,0,130,2,True
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,False,True,0,136,2,True
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,False,True,0,142,2,True
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,False,True,0,150,2,True
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,False,True,0,157,2,True
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,False,True,0,164,2,True
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,False,True,0,174,2,True
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,False,True,0,183,2,True
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,False,True,0,193,2,True
