frame,timestamp,endpoint_id,segment_id,x_local,y_local,endpoint_type,wall_tangent_local,range,associated_branch_eval_only,nearest_mouth_boundary_error_eval_only
60,1.016666666666668,2,[1],-140.47105765470116,40.27942761514505,SCAN_LIMIT,[0.0],146.1319620330682,NONE,245.58926248676772
60,1.016666666666668,3,[1],99.69508175337866,40.27942761514505,WALL_TERMINATION,[0.0],107.52460934510091,RIGHT,5.772521151281634
66,1.1166666666666676,0,[0],-143.03161837740862,-43.72915415666014,SCAN_LIMIT,[0.0],149.56698425427186,NONE,242.64966167402386
66,1.1166666666666676,1,[0],93.7774737169871,-43.72915415666014,WALL_TERMINATION,[0.0],103.47199379540898,LEFT,6.165714836562658
66,1.1166666666666676,2,[1],-140.44112945975402,40.27084584333986,SCAN_LIMIT,[0.0],146.10082774874834,NONE,240.0592617012659
66,1.1166666666666676,3,[1],94.87216745375572,40.27084584333986,WALL_TERMINATION,[0.0],103.06536364032056,RIGHT,5.1424867448036835
72,1.2166666666666672,0,[0],-143.04746523865774,-43.73399902834893,SCAN_LIMIT,[0.0],149.5835551864463,NONE,237.08785773772632
72,1.2166666666666672,1,[0],89.66798621544888,-43.73399902834893,WALL_TERMINATION,[0.0],99.76477546181094,LEFT,4.800441440115658
72,1.2166666666666672,2,[1],-140.4242333842484,40.26600097165107,SCAN_LIMIT,[0.0],146.08325077093153,NONE,234.46472026498978
72,1.2166666666666672,3,[1],90.43891892039133,40.266000971651074,WALL_TERMINATION,[0.0],98.99772163912723,RIGHT,4.11216733378083
78,1.3166666666666669,0,[0],-143.0555263225161,-43.736463549010246,SCAN_LIMIT,[0.0],149.59198459538533,NONE,231.5809001480982
78,1.3166666666666669,1,[0],85.83764283493045,-43.736463549010246,WALL_TERMINATION,[0.0],96.33783873032958,LEFT,3.3432839466342616
78,1.3166666666666669,2,[1],-140.415638579297,40.263536450989754,SCAN_LIMIT,[0.0],146.07430960018925,NONE,228.94111199061166
78,1.3166666666666669,3,[1],86.34543256333659,40.26353645098976,WALL_TERMINATION,[0.0],95.27164369365046,RIGHT,2.9520441357870033
84,1.4166666666666665,0,[0],-143.05931934805324,-43.73762319329241,SCAN_LIMIT,[0.0],149.59595093092162,NONE,226.3828410470582
84,1.4166666666666665,1,[0],78.90476094276656,-43.73762319329241,WALL_TERMINATION,[0.0],90.216079398484,LEFT,4.842256421853882
84,1.4166666666666665,2,[1],-140.41159441907735,40.26237680670757,SCAN_LIMIT,[0.0],146.0701024625942,NONE,223.73522067037808
84,1.4166666666666665,3,[1],79.0193636974512,40.26237680670758,WALL_TERMINATION,[0.0],88.6855051588216,RIGHT,4.738122171608451
90,1.5166666666666662,0,[0],-143.06082421929585,-43.738083278602964,SCAN_LIMIT,[0.0],149.59752456237462,NONE,221.68673629908986
90,1.5166666666666662,1,[0],75.75658246421902,-43.738083278602964,WALL_TERMINATION,[0.0],87.47616655720589,LEFT,3.490180524752852
90,1.5166666666666662,2,[1],-140.40998991092005,40.26191672139703,SCAN_LIMIT,[0.0],146.06843329366333,NONE,219.03601117654716
90,1.5166666666666662,3,[1],75.72165232350144,40.261916721397036,WALL_TERMINATION,[0.0],85.76007561028582,RIGHT,3.5188637527586355
96,1.6166666666666658,0,[0],-143.06228974353996,-43.73853133432871,SCAN_LIMIT,[0.0],149.59905704899558,NONE,217.4837194549237
96,1.6166666666666658,1,[0],69.9962819438703,-43.73853133432871,WALL_TERMINATION,[0.0],82.53810398385608,LEFT,4.847744578166862
96,1.6166666666666658,2,[1],-140.4084273549101,40.261468665671266,SCAN_LIMIT,[0.0],146.0668077675277,NONE,214.8299706709342
96,1.6166666666666658,3,[1],69.7349093162849,40.26146866567127,WALL_TERMINATION,[0.0],80.52293733134248,RIGHT,5.0869795389897785
102,1.7166666666666655,0,[0],-143.0675815013359,-43.74014918704592,SCAN_LIMIT,[0.0],149.60459059650015,NONE,213.51045841434438
102,1.7166666666666655,1,[0],67.35392324515482,-43.74014918704592,WALL_TERMINATION,[0.0],80.3103457060125,LEFT,3.6720364115693633
102,1.7166666666666655,2,[1],-140.40278523197662,40.259850812954085,SCAN_LIMIT,[0.0],146.06093827022292,NONE,210.8457805362305
102,1.7166666666666655,3,[1],67.00364367049241,40.25985081295409,WALL_TERMINATION,[0.0],78.168688441112,RIGHT,3.970387827994771
108,1.816666666666665,0,[0],-143.08203484383165,-43.74456801729652,SCAN_LIMIT,[0.0],149.61970433760166,NONE,209.37142997870512
108,1.816666666666665,1,[0],62.47371761969677,-43.74456801729652,WALL_TERMINATION,[0.0],76.2663269355847,LEFT,4.299603088740672
108,1.816666666666665,2,[1],-140.38737493953582,40.25543198270349,SCAN_LIMIT,[0.0],146.0449069516903,NONE,206.67689462180408
108,1.816666666666665,3,[1],61.9879293133862,40.2554319827035,WALL_TERMINATION,[0.0],73.9121315121911,RIGHT,4.73503103817816
114,1.9166666666666647,0,[0],-143.10167535776012,-43.750572725003934,SCAN_LIMIT,[0.0],149.6402422611098,NONE,204.80252605512663
114,1.9166666666666647,1,[0],58.058970977643675,-43.750572725003934,WALL_TERMINATION,[0.0],72.69770783696504,LEFT,4.146354058773685
114,1.9166666666666647,2,[1],-140.3664340351455,40.24942727499604,SCAN_LIMIT,[0.0],146.02312214066663,NONE,202.06741692431999
114,1.9166666666666647,3,[1],59.67222988290122,40.249427274996044,WALL_TERMINATION,[0.0],71.97771471200656,RIGHT,2.841790953300644
120,2.0166666666666644,0,[0],-143.11466151407387,-43.754542991423406,SCAN_LIMIT,[0.0],149.6538217777156,NONE,199.82479200479796
120,2.0166666666666644,1,[0],54.03236072559933,-43.754542991423406,WALL_TERMINATION,[0.0],69.52665703145527,LEFT,3.3342086617201168
120,2.0166666666666644,2,[1],138.70012147197244,-45.06640133614048,SCAN_LIMIT,[-89.99999999999994],145.83793822503796,FORWARD,3.868902388982286
120,2.0166666666666644,3,[1],138.70012147197244,-56.03848660119881,SCAN_LIMIT,[-89.99999999999994],149.59289982112335,NONE,14.423281355060865
120,2.0166666666666644,4,[2],138.70012147197238,42.404882656025094,SCAN_LIMIT,[89.99999999999994],145.0375736470076,FORWARD,4.615281325840441
120,2.0166666666666644,5,[2],138.70012147197238,56.03848660119879,SCAN_LIMIT,[89.99999999999994],149.5928998211233,NONE,17.905080342850347
120,2.0166666666666644,6,[3],-140.3525880706888,40.245457008576594,SCAN_LIMIT,[0.0],146.00871819165334,NONE,197.06285884992232
120,2.0166666666666644,7,[3],53.40752531697851,40.245457008576594,WALL_TERMINATION,[0.0],66.87346686327012,RIGHT,3.8524264353625726
126,2.116666666666664,0,[0],-143.12012742191698,-43.75621408715297,SCAN_LIMIT,[0.0],149.6595374324888,NONE,194.63674333069557
126,2.116666666666664,1,[0],48.59619896673752,-43.75621408715297,WALL_TERMINATION,[0.0],65.39263586410556,LEFT,3.5311359830181046
126,2.116666666666664,2,[1],133.50634008540604,-68.0248779423726,SCAN_LIMIT,[90.0],149.8376683683872,NONE,26.344690181107126
126,2.116666666666664,3,[1],133.50634008540604,-45.96991944064623,UNSTABLE_ENDPOINT,[90.0],141.19906634386643,FORWARD,4.664259084362463
126,2.116666666666664,4,[2],133.506340085406,40.81698433336285,UNSTABLE_ENDPOINT,[89.99999999999994],139.60647926607874,FORWARD,3.259041287149491
126,2.116666666666664,5,[2],133.50634008540604,68.02487794237258,SCAN_LIMIT,[89.99999999999994],149.8376683683872,NONE,29.84817318482105
126,2.116666666666664,6,[3],-140.34676026730415,40.24378591284704,SCAN_LIMIT,[0.0],146.00265553108002,NONE,191.86352471209082
126,2.116666666666664,7,[3],47.9606764412277,40.243785912847045,WALL_TERMINATION,[0.0],62.608216627685536,RIGHT,4.070839063098431
132,2.2166666666666637,0,[0],-143.12319677540285,-43.75715248268591,SCAN_LIMIT,[0.0],149.66274703012672,NONE,189.4886097014467
132,2.2166666666666637,1,[0],43.757152482685854,-43.75715248268591,WALL_TERMINATION,[0.0],61.88195849184192,LEFT,3.278425456898633
132,2.2166666666666637,2,"[1, 2]",128.35352223972637,-44.148597383496195,CORNER,"[-90.0, 1.6098648412202863]",135.73402418801993,FORWARD,3.1166757650951737
132,2.2166666666666637,3,[1],128.35485790794883,-77.12337937776468,SCAN_LIMIT,[-90.0],149.74306393024136,NONE,35.42273288150136
132,2.2166666666666637,4,[2],143.12119682839915,-43.68599224398182,SCAN_LIMIT,[1.6098648412202863],149.6400444397642,NONE,16.87692340505707
132,2.2166666666666637,5,[3],128.35485790794883,77.12337937776468,SCAN_LIMIT,[-90.0],149.74306393024136,NONE,38.931937503179924
132,2.2166666666666637,6,[3],128.35485790794883,41.70502144146859,WALL_TERMINATION,[-90.0],134.96028438767863,FORWARD,3.998330686811036
132,2.2166666666666637,7,[4],-140.34348769316878,40.24284751731411,SCAN_LIMIT,[0.0],145.99925107405315,NONE,186.70905776151935
132,2.2166666666666637,8,[4],43.15517047986218,40.24284751731412,WALL_TERMINATION,[0.0],59.00724968550698,RIGHT,3.7733273960068314
138,2.3166666666666633,0,[0],-143.12615659633784,-43.758057390757216,SCAN_LIMIT,[0.0],149.6658420904791,NONE,184.60956354746673
138,2.3166666666666633,1,[0],39.399931845254855,-43.758057390757216,WALL_TERMINATION,[0.0],58.882274208997146,LEFT,2.8802501945981835
138,2.3166666666666633,2,[1],123.47257295829952,-83.28330205682096,SCAN_LIMIT,[90.0],148.93483365025884,NONE,41.57338023996183
138,2.3166666666666633,3,[1],123.47257295829952,-44.94034130508305,UNSTABLE_ENDPOINT,[90.0],131.39676765263272,FORWARD,3.758580970443007
138,2.3166666666666633,4,[2],127.08262626020026,-43.75805739075729,UNSTABLE_ENDPOINT,[-2.842170943040401e-14],134.40521375230406,FORWARD,5.955896074493478
138,2.3166666666666633,5,[2],143.1261565963378,-43.7580573907573,SCAN_LIMIT,[-2.842170943040401e-14],149.6658420904791,NONE,21.745750949772177
138,2.3166666666666633,6,"[3, 4]",123.7005850146256,40.24154228963541,CORNER,"[2.842170943040401e-14, -89.84848273916637]",130.08157616976024,FORWARD,2.9937328880447542
138,2.3166666666666633,7,[3],140.34033190369,40.24194260924272,SCAN_LIMIT,[2.842170943040401e-14],145.99596810803868,NONE,18.973463775003243
138,2.3166666666666633,8,[4],123.43538183205769,83.28320370558535,SCAN_LIMIT,[-89.84848273916637],148.90394725289153,NONE,45.084008471117706
138,2.3166666666666633,9,[5],-140.34033190369004,40.24194260924278,SCAN_LIMIT,[0.0],145.99596810803877,NONE,181.82390484849589
138,2.3166666666666633,10,[5],38.86119225417616,40.241942609242784,WALL_TERMINATION,[0.0],55.942883447151985,RIGHT,3.2892718315560963
144,2.416666666666663,0,[0],-143.1301571308098,-43.7592804768875,SCAN_LIMIT,[0.0],149.67002541639798,NONE,180.0769960826875
144,2.416666666666663,1,[0],34.188496862868305,-43.7592804768875,WALL_TERMINATION,[0.0],55.53132400364017,LEFT,3.398132173290868
144,2.416666666666663,2,"[1, 2]",119.58168362544612,-44.70721528395218,CORNER,"[-89.99999999999999, -5.684341886080802e-14]",127.6656342056935,FORWARD,3.9612344430608655
144,2.416666666666663,3,[1],118.93573224906207,-89.62450273822222,SCAN_LIMIT,[-89.99999999999999],148.92367137797197,NONE,47.90698803021291
144,2.416666666666663,4,[2],143.13015713080975,-43.75928047688761,SCAN_LIMIT,[-5.684341886080802e-14],149.67002541639795,NONE,26.27066605332884
144,2.416666666666663,5,[3],123.84820000036984,40.2407195231124,WALL_TERMINATION,[2.842170943040401e-14],130.22170384029465,FORWARD,7.195985715165821
144,2.416666666666663,6,[3],140.33606649545305,40.2407195231124,SCAN_LIMIT,[2.842170943040401e-14],145.9915308062561,NONE,23.48564759257919
144,2.416666666666663,7,[4],118.93573224906203,40.95285682017819,UNSTABLE_ENDPOINT,[90.0],125.78889015868846,FORWARD,3.3698202797976267
144,2.416666666666663,8,[4],118.93573224906206,89.62450273822222,SCAN_LIMIT,[90.0],148.92367137797194,NONE,51.42269127046349
144,2.416666666666663,9,[5],-140.33606649545314,40.24071952311248,SCAN_LIMIT,[0.0],145.9915308062562,NONE,177.28308049590035
144,2.416666666666663,10,[5],33.76597291015199,40.24071952311249,WALL_TERMINATION,[0.0],52.53052859344673,RIGHT,3.7479826929440074
150,2.5166666666666626,0,[0],-143.1385742676811,-43.76185385387915,SCAN_LIMIT,[0.0],149.6788271470375,NONE,175.7865411192593
150,2.5166666666666626,1,[0],29.517743137255096,-43.76185385387915,WALL_TERMINATION,[0.0],52.786333578353855,LEFT,3.7050235917334677
150,2.5166666666666626,2,"[1, 2]",114.6362409861259,-43.94964822792237,CORNER,"[-90.0, 0.3611712104853382]",122.77230683988654,FORWARD,2.9639588554048855
150,2.5166666666666626,3,[1],114.63658904805315,-96.19151958964281,SCAN_LIMIT,[-90.0],149.64743896751745,NONE,54.46639800929523
150,2.5166666666666626,4,[2],143.13827741457405,-43.71476204702473,SCAN_LIMIT,[0.3611712104853382],149.6647817024418,NONE,30.564143102976256
150,2.5166666666666626,5,[3],116.86006173507351,40.2381461461208,WALL_TERMINATION,[2.842170943040401e-14],123.59361809576484,FORWARD,4.673084798931747
150,2.5166666666666626,6,[3],140.32709206336312,40.23814614612081,SCAN_LIMIT,[2.842170943040401e-14],145.98219470961575,NONE,27.762635992298904
150,2.5166666666666626,7,[4],114.63658904805315,41.724306171298274,UNSTABLE_ENDPOINT,[90.0],121.99370997739375,FORWARD,4.019118276580744
150,2.5166666666666626,8,[4],114.63658904805318,96.19151958964282,SCAN_LIMIT,[90.0],149.64743896751747,NONE,57.98787367617753
150,2.5166666666666626,9,[5],-140.3270920633632,40.23814614612084,SCAN_LIMIT,[0.0],145.98219470961587,NONE,172.97524384608258
150,2.5166666666666626,10,[5],30.321617997037457,40.23814614612085,WALL_TERMINATION,[0.0],50.383617607659396,RIGHT,3.059263141189544
156,2.6166666666666623,0,[0],-143.15125251860914,-43.76572998417518,SCAN_LIMIT,[0.0],149.69208468951967,NONE,171.55080782662475
156,2.6166666666666623,1,[0],26.29710361048453,-43.76572998417518,WALL_TERMINATION,[0.0],51.05856225304713,LEFT,2.8933397916375023
156,2.6166666666666623,2,[1],110.38789655811772,-44.599605224258006,WALL_TERMINATION,[-89.99999999999999],119.05718160902919,FORWARD,3.468551408924858
156,2.6166666666666623,3,[1],110.38789655811772,-99.39370850246083,SCAN_LIMIT,[-89.99999999999999],148.54156656100625,NONE,57.66267343875062
156,2.6166666666666623,4,[2],114.01362459011625,-43.76572998417513,UNSTABLE_ENDPOINT,[-2.842170943040401e-14],122.12512318611469,FORWARD,5.970662935555293
156,2.6166666666666623,5,[2],143.1512525186091,-43.765729984175145,SCAN_LIMIT,[-2.842170943040401e-14],149.69208468951962,NONE,34.82084027756697
156,2.6166666666666623,6,"[3, 4]",110.47669674847778,40.234231317868264,CORNER,"[2.842170943040401e-14, -89.96643186451158]",117.57505642862712,FORWARD,2.8918733452416707
156,2.6166666666666623,7,[3],140.31357439058286,40.23427001582487,SCAN_LIMIT,[2.842170943040401e-14],145.9681322822483,NONE,31.988261988772607
156,2.6166666666666623,8,[4],110.37598508927982,99.39370152383432,SCAN_LIMIT,[-89.96643186451158],148.53271015853034,NONE,61.19173603020786
156,2.6166666666666623,9,[5],-140.31357439058294,40.2342700158248,SCAN_LIMIT,[0.0],145.96813228224835,NONE,168.71332579335666
156,2.6166666666666623,10,[5],26.128440455035587,40.234270015824805,WALL_TERMINATION,[0.0],47.973866680919514,RIGHT,3.017472764045269
162,2.716666666666662,0,[0],-143.1648303672967,-43.76988114910719,SCAN_LIMIT,[0.0],149.70628293396308,NONE,167.22442054884175
162,2.716666666666662,1,[0],21.347997434074124,-43.76988114910719,WALL_TERMINATION,[0.0],48.69845470086504,LEFT,3.3597640978547827
162,2.716666666666662,2,[1],106.04762977815979,-45.014548159548596,WALL_TERMINATION,[-89.99999999999999],115.20594310873881,FORWARD,3.811543520497575
162,2.716666666666662,3,[1],106.04762977815982,-106.04762977815983,SCAN_LIMIT,[-89.99999999999999],149.9739962897945,NONE,64.30885606834946
162,2.716666666666662,4,[2],108.33425740774884,-43.76988114910713,UNSTABLE_ENDPOINT,[0.0],116.84226043643348,FORWARD,4.730240631802561
162,2.716666666666662,5,[2],143.16483036729667,-43.76988114910713,SCAN_LIMIT,[0.0],149.70628293396305,NONE,39.16829562197936
162,2.716666666666662,6,"[3, 4]",106.04647800288407,40.57679322070856,CORNER,"[-0.503442518756259, 90.0]",113.54440384665514,FORWARD,3.0825760044860324
162,2.716666666666662,7,[3],140.29834729911582,40.14473559059696,SCAN_LIMIT,[-0.503442518756259],145.92883899525228,NONE,36.301243477932005
162,2.716666666666662,8,[4],106.0476297781598,106.04762977815982,SCAN_LIMIT,[90.0],149.9739962897945,NONE,67.84699542625282
162,2.716666666666662,9,[5],-140.2990975580404,40.2301188508928,SCAN_LIMIT,[0.0],145.95307204152127,NONE,164.35889627920764
162,2.716666666666662,10,[5],21.390733629882,40.23011885089281,WALL_TERMINATION,[0.0],45.56342774618175,RIGHT,3.3255220857383128
168,2.8166666666666615,0,[0],-143.17476162319463,-43.77291743874051,SCAN_LIMIT,[0.0],149.7166679663871,NONE,162.76856353750665
168,2.8166666666666615,1,[0],16.80284871330707,-43.77291743874051,WALL_TERMINATION,[0.0],46.8871413713939,LEFT,3.423591847698917
168,2.8166666666666615,2,"[1, 2]",102.35202258629616,-44.49996069889298,CORNER,"[-89.99999999999999, 0.0]",111.60727140159237,FORWARD,3.887477640629492
168,2.8166666666666615,3,[1],101.58151406552756,-108.93283720080393,SCAN_LIMIT,[-89.99999999999999],148.94685972004186,NONE,67.18969282893615
168,2.8166666666666615,4,[2],143.17476162319463,-43.772917438740535,SCAN_LIMIT,[0.0],149.7166679663871,NONE,43.63910210607049
168,2.8166666666666615,5,[3],104.7951328848717,40.22708256125945,WALL_TERMINATION,[2.842170943040401e-14],112.25078194715752,FORWARD,5.584068516182394
168,2.8166666666666615,6,[3],140.288508757717,40.227082561259465,SCAN_LIMIT,[2.842170943040401e-14],145.94205651851843,NONE,40.75609668344038
168,2.8166666666666615,7,[4],101.58151406552756,41.04159574251599,UNSTABLE_ENDPOINT,[90.0],109.55919213346309,FORWARD,3.4527502729659947
168,2.8166666666666615,8,[4],101.58151406552756,108.93283720080393,SCAN_LIMIT,[90.0],148.94685972004186,NONE,70.73403522454706
168,2.8166666666666615,9,[5],-140.2885087577171,40.22708256125949,SCAN_LIMIT,[0.0],145.9420565185185,NONE,159.8825324965325
168,2.8166666666666615,10,[5],17.075383476839193,40.2270825612595,WALL_TERMINATION,[0.0],43.70110859316387,RIGHT,3.206351591382284
174,2.916666666666661,0,[0],-143.1812714412033,-43.774907689836596,SCAN_LIMIT,[0.0],149.72347522941504,NONE,158.23923479446768
174,2.916666666666661,1,[0],12.552252792078377,-43.774907689836596,WALL_TERMINATION,[0.0],45.53901177463071,LEFT,3.196154383195238
174,2.916666666666661,2,"[1, 2]",97.6826881018273,-44.51394267316607,CORNER,"[-89.99999999999999, 0.0]",107.34709426486023,FORWARD,3.8023681202499047
174,2.916666666666661,3,[1],97.04532375801938,-111.6378745197599,SCAN_LIMIT,[-89.99999999999999],147.9216342885261,NONE,69.89158843722882
174,2.916666666666661,4,[2],143.18127144120328,-43.77490768983649,SCAN_LIMIT,[0.0],149.723475229415,NONE,48.177478756761666
174,2.916666666666661,5,[3],99.56059715434259,40.22509231016348,WALL_TERMINATION,[2.842170943040401e-14],107.37956303268543,FORWARD,4.938389802713477
174,2.916666666666661,6,[3],140.2815679272981,40.22509231016351,SCAN_LIMIT,[2.842170943040401e-14],145.93483597654924,NONE,45.280434919980706
174,2.916666666666661,7,[4],97.04532375801938,41.19329596618685,UNSTABLE_ENDPOINT,[90.0],105.4261945431811,FORWARD,3.579138575639477
174,2.916666666666661,8,[4],97.04532375801938,111.63787451975993,SCAN_LIMIT,[90.0],147.92163428852612,NONE,73.44002036869024
174,2.916666666666661,9,[5],-140.2815679272982,40.22509231016344,SCAN_LIMIT,[0.0],145.93483597654932,NONE,155.33976722211978
174,2.916666666666661,10,[5],12.2980448837238,40.22509231016345,WALL_TERMINATION,[0.0],42.06304743267249,RIGHT,3.3981673315406886
180,3.016666666666661,0,[0],-143.18584297706926,-43.776305348612034,SCAN_LIMIT,[0.0],149.7282556467845,NONE,153.74378323649293
180,3.016666666666661,1,[0],8.509251766570387,-43.776305348612034,WALL_TERMINATION,[0.0],44.59565310208832,LEFT,2.853767712517334
180,3.016666666666661,2,"[1, 2]",93.21176041369561,-44.456742064859014,CORNER,"[-89.99999999999999, 0.0]",103.27068409980441,FORWARD,3.7811003463441697
180,3.016666666666661,3,[1],92.54493105295296,-114.28347220902393,SCAN_LIMIT,[-89.99999999999999],147.0553510884475,NONE,72.53474509587527
180,3.016666666666661,4,[2],143.18584297706923,-43.77630534861213,SCAN_LIMIT,[0.0],149.7282556467845,NONE,52.678891486083636
180,3.016666666666661,5,"[3, 4]",93.65300862979865,40.7136763180316,CORNER,"[2.842170943040401e-14, 90.0]",102.11997583598709,FORWARD,3.98248100107374
180,3.016666666666661,6,[3],140.27669371189646,40.223694651387895,SCAN_LIMIT,[2.842170943040401e-14],145.9297653330166,NONE,49.771962159086065
180,3.016666666666661,7,[4],92.54493105295293,114.28347220902393,SCAN_LIMIT,[90.0],147.0553510884475,NONE,76.0860681210238
180,3.016666666666661,8,[5],-140.27669371189657,40.223694651387916,SCAN_LIMIT,[0.0],145.92976533301675,NONE,150.83488487982163
180,3.016666666666661,9,[5],7.8186942009979745,40.22369465138792,WALL_TERMINATION,[0.0],40.97654927414963,RIGHT,3.38117840004889
