frame,timestamp,gap_id,endpoint_a,endpoint_b,gap_center_local,gap_width,gap_width_over_W_hat,free_continuation,accepted,rejection_reason,matched_branch_eval_only,endpoint_error_eval_only,center_error_eval_only,same_lateral_side_runtime,runtime_candidate_created,runtime_rejection_reason
138,2.3166666666666633,2,6,10,"[81.28088863440088, 40.2417424494391]",84.83939276139391,1.009992770968975,46.67863196081039,True,NONE,RIGHT,3.141502359800425,2.0089654752827517,True,True,NONE
144,2.416666666666663,0,1,2,"[76.88509024415721, -44.23324788041984]",85.39844802961551,1.0166481908287561,48.63398541036955,True,NONE,LEFT,3.679683308175867,2.4744856690635277,True,True,NONE
144,2.416666666666663,1,1,5,"[79.01834843161907, -1.7592804768875467]",122.86115076257786,1.462632747173546,70.9620695067418,True,NONE,NONE,42.8444856689418,40.054179434409264,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
144,2.416666666666663,2,1,10,"[33.977234886510146, -1.759280476887504]",84.00106265096065,1.0000126506066744,115.97724940088706,True,NONE,NONE,60.096858999760364,58.69780656590488,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
144,2.416666666666663,3,2,5,"[121.71494181290798, -2.2332478804198885]",85.0550103754199,1.0125596473264273,28.26457189209472,True,NONE,FORWARD,5.578610079113343,4.802654386354254,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
144,2.416666666666663,4,2,10,"[76.67382826779905, -2.233247880419846]",120.74969082178372,1.437496319306949,73.29365516898005,True,NONE,NONE,43.01123802559158,39.52690028970693,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
144,2.416666666666663,5,5,10,"[78.80708645526092, 40.240719523112446]",90.08222709021786,1.0724074653597364,44.998126777662364,True,NONE,RIGHT,5.471984204054914,2.7389718080072485,True,True,NONE
150,2.5166666666666626,0,1,2,"[72.0769920616905, -43.855751040900756]",85.11870501114984,1.0133179167994029,49.36814567730366,True,NONE,LEFT,3.3344912235691764,2.167384187670228,True,True,NONE
150,2.5166666666666626,1,1,5,"[73.18890243616431, -1.7618538538791775]",121.18036399533882,1.4426233808968907,76.7898943532192,True,NONE,NONE,42.906859073402416,40.00381294425182,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
150,2.5166666666666626,2,1,10,"[29.919680567146276, -1.7618538538791526]",84.00384642854273,1.0000457908159848,120.02848995725275,True,NONE,NONE,59.909299575695194,58.52122922637707,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
150,2.5166666666666626,3,2,5,"[115.7481513605997, -1.8557510409007847]",84.21716036705122,1.0025852424648956,34.236973280230345,True,NONE,FORWARD,3.818521827168316,3.112978751387587,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
150,2.5166666666666626,4,2,10,"[72.47892949158168, -1.8557510409007598]",119.14923571453701,1.4184432823159168,77.49731706914928,True,NONE,NONE,42.498314865449224,39.906414249538294,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
150,2.5166666666666626,5,5,10,"[73.59083986605549, 40.238146146120826]",86.53844373803605,1.030219568309953,47.19697202853874,True,NONE,RIGHT,3.8661739700606454,2.2159861515041652,True,True,NONE
156,2.6166666666666623,0,1,2,"[68.34250008430112, -44.18266760421659]",84.0949273528299,1.0011300875336893,50.241855074712035,True,NONE,LEFT,3.1809456002811802,2.4173639153024973,True,True,NONE
156,2.6166666666666623,1,1,6,"[68.38690017948116, -1.7657493331534582]",118.92097123561881,1.415725848043081,81.59030780024038,True,NONE,NONE,42.459261992417446,40.00001936138794,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
156,2.6166666666666623,2,1,10,"[26.212772032760057, -1.765729984175188]",84.00016932875792,1.0000020158185468,123.72782422374456,True,NONE,NONE,59.52122998535988,58.126939784659434,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
156,2.6166666666666623,3,2,6,"[110.43229665329775, -2.182686953194871]",84.83388301810785,1.0099271787869983,39.54613512213524,True,NONE,FORWARD,3.180212377083264,2.0864862480222945,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
156,2.6166666666666623,4,2,10,"[68.25816850657665, -2.1826676042166007]",119.56773114447375,1.4234253707675446,81.7069432098496,True,NONE,NONE,42.74983720824336,39.583274962325255,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
156,2.6166666666666623,5,6,10,"[68.30256860175669, 40.234250666846535]",84.34825629345107,1.0041459082553699,49.51029620997541,True,NONE,RIGHT,2.95467305464347,2.001800056098967,True,True,NONE
162,2.716666666666662,0,1,2,"[63.69781360611695, -44.392214654327894]",84.70877708472814,1.0084378224372397,51.81953950116086,True,NONE,LEFT,3.585653809176179,2.6455631473896437,True,True,NONE
162,2.716666666666662,1,1,6,"[63.6972377184791, -1.5965439641993164]",119.53323424015937,1.4230146933352306,86.28275707789878,True,NONE,NONE,42.56350154196208,39.82820414709323,False,False,ENDPOINTS_OPPOSITE_CORRIDOR_SIDES
