frame,time,profile_junction_detected,detection_latched,phase,forward_propulsion_enabled,leader_braking,leader_speed,stationary,stationary_dwell,stationary_dwell_target,anchor_active,pointcloud_ready,first_detection_time,detection_latch_time,hold_entry_time,braking_start_time,stationary_confirmation_time,anchor_entry_time,distance_since_detection_eval,distance_during_braking_eval,distance_since_anchor_eval,anchor_heading_drift_eval,leader_gap,connected_component_size,follower_mean_speed,follower_moving_fraction,mean_lateral_sph_force,lateral_span,min_robot_distance,overlap_pairs,max_speed,nan_inf_state_count,outside_free_space_robot_count,GT_phase_eval_only
108,1.816666666666665,False,False,LOCAL_FORWARD,True,False,43.14484590204801,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,9.814173604223626,680,32.50620731012979,1.0,39.00185786717244,81.75982829370088,2.9472996561789535,0,51.66790066295608,0,0,CORRIDOR_ONLY
114,1.9166666666666647,False,False,LOCAL_FORWARD,True,False,47.80785865506235,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,9.580187340360213,680,32.50464175435629,1.0,38.379859850770394,81.75982829370088,2.938381161867545,0,50.46662619737689,0,0,CORRIDOR_ONLY
120,2.0166666666666644,False,False,LOCAL_FORWARD,True,False,51.12775309131851,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,9.74908017475356,680,32.50433270521673,1.0,38.14067241366436,81.75982829370088,2.92864883058034,0,51.12775309131851,0,0,CORRIDOR_ONLY
126,2.116666666666664,False,False,LOCAL_FORWARD,True,False,52.173041136871625,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.226340699092173,680,32.50513618014878,1.0,37.87702271296824,81.75982829370088,2.9181551266122154,0,52.173041136871625,0,0,CORRIDOR_ONLY
132,2.2166666666666637,False,False,LOCAL_FORWARD,True,False,50.70052099208646,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.827925463921522,680,32.50661323042624,1.0,37.509885875521476,81.75982829370088,2.9068587397419825,0,50.70052099208646,0,0,CORRIDOR_ONLY
138,2.3166666666666633,False,False,LOCAL_FORWARD,True,False,47.349395959442326,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.01725298688641,680,32.50763644311532,1.0,37.06411730918564,81.75982829370088,2.8954298743963394,0,47.49005718207915,0,0,CORRIDOR_ONLY
144,2.416666666666663,False,False,LOCAL_FORWARD,True,False,44.10209978617773,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.890316441272743,680,32.50754385128641,1.0,36.72235478559486,81.75982829370088,2.892593336257652,0,46.46130741066949,0,0,CORRIDOR_ONLY
150,2.5166666666666626,False,False,LOCAL_FORWARD,True,False,42.47535753187518,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.613477518375046,680,32.50751820664804,1.0,36.50101153473914,81.75993691861628,2.8834059890156665,0,45.87036678165427,0,0,CORRIDOR_ONLY
156,2.6166666666666623,False,False,LOCAL_FORWARD,True,False,42.71315696066088,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.36748026203411,680,32.506663844243505,1.0,36.488570060686705,81.75993691861628,2.8739879591072284,0,45.525704930235236,0,0,CORRIDOR_ONLY
162,2.716666666666662,False,False,LOCAL_FORWARD,True,False,43.951357373388205,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.293256025175102,680,32.50605242991317,1.0,36.26861104234214,81.75993691861628,2.8735254666227488,0,45.15190786722197,0,0,CORRIDOR_ONLY
168,2.8166666666666615,False,False,LOCAL_FORWARD,True,False,45.094084694588375,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.407770496350977,680,32.50585276924894,1.0,35.58134967616275,81.7599700245253,2.8597399884804156,0,45.094084694588375,0,0,CORRIDOR_ONLY
174,2.916666666666661,False,False,LOCAL_FORWARD,True,False,45.40340591149199,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.652030838753722,680,32.505900762817696,1.0,35.17620375595112,81.7599700245253,2.8651240098407675,0,45.40340591149199,0,0,CORRIDOR_ONLY
180,3.016666666666661,False,False,LOCAL_FORWARD,True,False,44.556286406736405,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,10.940132654843387,680,32.50584977025762,1.0,34.69969521988474,81.7599700245253,2.8964184769093833,0,44.556286406736405,0,0,CORRIDOR_ONLY
186,3.1166666666666605,False,False,LOCAL_FORWARD,True,False,42.71949513612272,False,0,6,False,False,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,11.154602650108144,680,32.50596690292634,1.0,34.19087835325904,81.7599700245253,2.934264070816014,0,43.630083423124795,0,0,CORRIDOR_ONLY
