frame,time,side_walls_valid,width_observation,offset_observation,current_corridor_orientation_deg,left_wall_orientation_deg,right_wall_orientation_deg,parallel_error_deg,estimated_corridor_width,estimated_offset,stable_corridor_orientation_deg,current_model_valid,last_valid_model_exists_before_scan,corridor_model_initialized,corridor_model_just_initialized,corridor_model_update_count,corridor_model_frozen,model_lifecycle_state,expected_profile_source,max_range_fallback_used,expected_profile_min,expected_profile_max,open_candidate_count,opening_group_count,junction_detected,lidar_x_eval_only,lidar_y_eval_only
60,1.016666666666668,False,nan,nan,-0.9491089054170487,-24.917689515208366,23.01947170437427,47.937161219582634,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.9985195875198987,15.085666019868656
66,1.1166666666666676,False,nan,nan,-1.1583883038795904,-29.21185891523791,26.89508230747873,56.10694122271664,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.0639314020064994,20.644825029168697
72,1.2166666666666672,False,nan,nan,-1.271918123536608,-30.389226765069765,27.84539051799655,58.234617283066314,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.114535218240462,26.246651477121013
78,1.3166666666666669,False,nan,nan,-1.374387039503361,-32.5315360368827,29.782761957875977,62.314297994758675,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.149986644849659,31.755094458337716
84,1.4166666666666665,False,nan,nan,-1.3565332477069205,-32.6958078910109,29.98274139559706,62.67854928660796,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.172186841467445,36.90825520432313
90,1.5166666666666662,False,nan,nan,-1.2521618948300102,-30.87251393670107,28.368190147041048,59.240704083742116,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.1848295911003315,41.513003132223425
96,1.6166666666666658,False,nan,nan,-1.2520070488641437,-30.179819490364025,27.675805392635738,57.85562488299976,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.1897985443538803,45.59856238132155
102,1.7166666666666655,False,nan,nan,-1.2520812126361989,-29.141439536188926,26.63727711091653,55.778716647105455,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.1925081159399737,49.415703112684376
108,1.816666666666665,False,nan,nan,-1.2748922940855891,-27.683655568642678,25.1338709804715,52.81752654911418,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.1972261829489854,53.34812516037978
114,1.9166666666666647,False,nan,nan,-1.2515245664874612,-25.17491333126611,22.67186419829119,47.8467775295573,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.2021368376236663,57.6743745030975
120,2.0166666666666644,False,nan,nan,-0.8305723854179661,-13.39811556230984,11.736970791473908,25.13508635378375,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-2.2043280483323495,62.411223061136305
126,2.116666666666664,True,84.0,2.2048559153023426,0.0,0.0,0.0,0.0,nan,nan,nan,True,False,False,False,0,False,CURRENT_MODEL_VALID,CURRENT_WALL_FIT,False,39.795144084697654,150.0,76,2,True,-2.2048559153023706,67.390883345553
