frame,time,side_walls_valid,width_observation,offset_observation,current_corridor_orientation_deg,left_wall_orientation_deg,right_wall_orientation_deg,parallel_error_deg,estimated_corridor_width,estimated_offset,stable_corridor_orientation_deg,current_model_valid,last_valid_model_exists_before_scan,corridor_model_initialized,corridor_model_just_initialized,corridor_model_update_count,corridor_model_frozen,model_lifecycle_state,expected_profile_source,max_range_fallback_used,expected_profile_min,expected_profile_max,open_candidate_count,opening_group_count,junction_detected,lidar_x_eval_only,lidar_y_eval_only
0,0.016666666666666666,False,nan,nan,0.8083824286576942,26.19188335306785,-24.575118495752463,50.767001848820314,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.4001210697211428,-56.11000036445194
6,0.11666666666666665,False,nan,nan,0.8028063159851513,27.3555594416012,-25.7499468096309,53.1055062512321,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.4091189450888946,-54.19160676275653
12,0.21666666666666665,False,nan,nan,0.830713362813313,29.432970486143773,-27.771543760517147,57.20451424666092,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.4646870524810078,-48.090611113130194
18,0.31666666666666665,False,nan,nan,0.9166765625182478,31.967401553930472,-30.134048428893976,62.10144998282445,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.5135709808982423,-39.58851052565637
24,0.41666666666666663,False,nan,nan,0.9833944170787419,31.835103513297838,-29.868314679140354,61.70341819243819,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.5959273258899676,-30.32913030638664
30,0.5166666666666666,False,nan,nan,1.0473930258005737,29.113476487177735,-27.018690435576588,56.13216692275432,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.7445900220146817,-21.57357919488162
36,0.6166666666666669,False,nan,nan,0.7713651420519341,23.465926787936723,-21.923196503832855,45.38912329176958,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.8270637606074025,-13.193282830313386
42,0.7166666666666672,False,nan,nan,0.22224469038332018,9.934185179855774,-9.489695799089134,19.423880978944908,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.824356475692127,-4.878178000422708
48,0.8166666666666675,False,nan,nan,-0.11564909039682902,-6.879633610350027,6.648335429556369,13.527969039906395,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.8477910509803726,2.8759390269159963
54,0.9166666666666679,False,nan,nan,-0.5678340856491104,-17.165501268617902,16.02983309731968,33.19533436593758,nan,nan,nan,False,False,False,False,0,False,MODEL_UNINITIALIZED,MAX_RANGE_FALLBACK,True,150.0,150.0,0,0,False,-1.920274716294946,9.393741342746436
