cohort_name,mean_robot_count,sustained_onset,delta_t_frontmost,delta_t_front_center,sph_corridor_variance_mean,sph_corridor_variance_std,sph_corridor_variance_rate_std,sph_corridor_ratio_mean,sph_corridor_ratio_max,sph_corridor_false_ratio_1_28_count,sph_corridor_positive_dwell_count,sph_opening_approach_variance_mean,sph_opening_approach_variance_std,sph_opening_approach_variance_rate_std,sph_opening_approach_ratio_mean,sph_opening_approach_ratio_max,sph_opening_approach_false_ratio_1_28_count,sph_opening_approach_positive_dwell_count,sph_junction_region_variance_mean,sph_junction_region_variance_std,sph_junction_region_variance_rate_std,sph_junction_region_ratio_mean,sph_junction_region_ratio_max,sph_junction_region_false_ratio_1_28_count,sph_junction_region_positive_dwell_count
BROAD_OBSERVED,531.7575757575758,2.116666666666664,0.7999999999999972,0.29999999999999893,407.8567321204818,49.831445023669204,226.45295195969734,0.8347296734897808,1.0,0,0,727.1025962648392,175.53857376725514,86.51321040510761,1.5537044864942444,2.3131604209747008,20,20,1879.1339675550269,250.52714506808863,196.2932405665607,4.0154152812989485,4.546186893803816,58,58
FRONT_COHORT,217.15151515151516,1.816666666666665,0.4999999999999982,0.0,357.4573007605295,72.49305985706442,306.53934440697117,0.7552863152014121,1.0,0,0,932.8296224486568,318.555775453077,177.87866370731604,2.113366473649323,3.3346749163835847,23,23,2142.545109367563,155.66760124029156,308.05668546731806,4.854192182963114,5.159483130272358,58,58
FRONT_LOCAL_REDUCED,181.6060606060606,,,,322.6694201567941,35.380592946581096,164.5062386101234,0.9032129293063091,1.0694073887077409,0,0,331.86715300434133,6.661347928276818,75.17297205098255,0.9726656042893549,1.0169622796084303,0,0,346.34125991039,10.861320606709521,71.44001844968801,1.0321416753584556,1.1084561238547384,0,0
