mode,physics_frame,timestamp,viewpoint_step_index,state,local_progress,predicted_stopping_distance,support_gap,direct_support_present,communication_connected,communication_component_size,brake_trigger_reason
BASELINE,85,1.4333333333333331,1,VIEWPOINT_ADVANCE,0.02998806298916179,2.439395330850996,4.736240789913881,True,True,680,NONE
BASELINE,86,1.4499999999999997,1,VIEWPOINT_ADVANCE,0.11455268617740444,4.907459280811231,4.716865154200495,True,True,680,NONE
BASELINE,87,1.4666666666666663,1,VIEWPOINT_ADVANCE,0.2697869719575863,7.016481432242574,4.733818071412542,True,True,680,NONE
BASELINE,88,1.483333333333333,1,VIEWPOINT_ADVANCE,0.5049303758530925,8.781377395076714,4.791804531762382,True,True,680,NONE
BASELINE,89,1.4999999999999996,1,VIEWPOINT_ADVANCE,0.8233671589206892,10.192762698608785,4.892518751323868,True,True,680,NONE
BASELINE,90,1.5166666666666662,1,VIEWPOINT_ADVANCE,1.2235205754885783,11.23696922851372,5.036712092566385,True,True,680,NONE
BASELINE,91,1.5333333333333328,1,VIEWPOINT_ADVANCE,1.699732203058602,11.921929013962664,5.225644070271247,True,True,680,NONE
BASELINE,92,1.5499999999999994,1,VIEWPOINT_ADVANCE,2.2431457727200836,12.25931514623693,5.458760036223407,True,True,680,NONE
BASELINE,93,1.566666666666666,1,VIEWPOINT_ADVANCE,2.842554925809992,12.282459322946504,5.733042301370022,True,True,680,NONE
BASELINE,94,1.5833333333333326,1,VIEWPOINT_ADVANCE,3.4851792319575736,12.014488338279586,6.042706370999754,True,True,680,NONE
BASELINE,95,1.5999999999999992,1,VIEWPOINT_ADVANCE,4.157349348589804,11.494001742724278,6.3793906415197075,True,True,680,NONE
BASELINE,96,1.6166666666666658,1,VIEWPOINT_ADVANCE,4.845608743839136,10.799733674327234,6.732810699870383,True,True,680,NONE
BASELINE,97,1.6333333333333324,1,VIEWPOINT_ADVANCE,5.538277818457317,10.063530893970789,7.092082174906725,True,True,680,NONE
BASELINE,98,1.649999999999999,1,VIEWPOINT_ADVANCE,6.225299764425273,9.29773830109101,7.381615807260075,True,True,680,NONE
BASELINE,99,1.6666666666666656,1,VIEWPOINT_ADVANCE,6.90912484319648,9.418664607462656,7.448433376030025,True,True,680,NONE
BASELINE,100,1.6833333333333322,1,VIEWPOINT_ADVANCE,7.5920073969950295,9.562069944458708,7.5288081547286625,True,True,680,NONE
BASELINE,101,1.6999999999999988,1,VIEWPOINT_ADVANCE,8.276421939393686,9.751727719196076,7.619009202473249,True,True,680,NONE
BASELINE,102,1.7166666666666655,1,VIEWPOINT_ADVANCE,8.964583158619803,9.954957637938941,7.720099673430777,True,True,680,TARGET_REACHED_BASELINE
BASELINE,103,1.733333333333332,1,VIEWPOINT_REBRAKING,9.647558718213702,9.271982078345031,7.83344863930936,True,True,680,TARGET_REACHED_BASELINE
BASELINE,104,1.7499999999999987,1,VIEWPOINT_REBRAKING,10.318086330194063,8.601454466364661,7.956835645648312,True,True,680,TARGET_REACHED_BASELINE
BASELINE,105,1.7666666666666653,1,VIEWPOINT_REBRAKING,10.970360293787564,7.949180502771151,8.087476668629186,True,True,680,TARGET_REACHED_BASELINE
BASELINE,106,1.7833333333333319,1,VIEWPOINT_REBRAKING,11.599838978140724,7.319701818417992,8.222405834671804,True,True,680,TARGET_REACHED_BASELINE
BASELINE,107,1.7999999999999985,1,VIEWPOINT_REBRAKING,12.203071789304545,6.716469007254157,8.358746036176697,True,True,680,TARGET_REACHED_BASELINE
BASELINE,108,1.816666666666665,1,VIEWPOINT_REBRAKING,12.77754419071917,6.141996605839534,8.493859545377166,True,True,680,TARGET_REACHED_BASELINE
BASELINE,109,1.8333333333333317,1,VIEWPOINT_REBRAKING,13.321539387322474,5.598001409236241,8.625412557303923,True,True,680,TARGET_REACHED_BASELINE
BASELINE,110,1.8499999999999983,1,VIEWPOINT_REBRAKING,13.834015333621238,5.085525462937478,8.751379997175006,True,True,680,TARGET_REACHED_BASELINE
BASELINE,111,1.866666666666665,1,VIEWPOINT_REBRAKING,14.314495783314698,4.605045013244014,8.870017689102442,True,True,680,TARGET_REACHED_BASELINE
BASELINE,112,1.8833333333333315,1,VIEWPOINT_REBRAKING,14.762974160395487,4.156566636163219,8.979824301141353,True,True,680,TARGET_REACHED_BASELINE
BASELINE,113,1.8999999999999981,1,VIEWPOINT_REBRAKING,15.179829097408913,3.739711699149778,9.079508676199785,True,True,680,TARGET_REACHED_BASELINE
BASELINE,114,1.9166666666666647,1,VIEWPOINT_REBRAKING,15.56575055432296,3.353790242235732,9.1679700097998,True,True,680,TARGET_REACHED_BASELINE
BASELINE,115,1.9333333333333313,1,VIEWPOINT_REBRAKING,15.921675500072524,2.9978652964861565,9.24429316159273,True,True,680,TARGET_REACHED_BASELINE
