mode,step_index,target_advance,drive_phase_distance,prebrake_distance,brake_start_progress,speed_at_brake_start,predicted_stop_distance_at_trigger,braking_distance,dwell_distance,actual_advance,absolute_error,relative_error,overshoot_ratio,support_gap_start,support_gap_at_brake,support_gap_at_anchor,direct_support_at_anchor,communication_component_at_anchor,stop_reason
BASELINE,1,8.4,8.964583158619803,0.0,8.964583158619803,41.298240619452734,9.954957637938941,9.907707062623217,0.04725057531572929,18.91954079655875,10.519540796558749,1.2523262853046129,1.2523262853046129,4.778658145234795,7.720099673430777,7.81283069299595,True,680,TARGET_REACHED_BASELINE
BASELINE,2,8.4,8.430061210971246,0.0,8.430061210971246,45.75819350665715,11.888780711158292,11.84864963902416,0.040131072134144574,20.31884192212955,11.91884192212955,1.4189097526344703,1.4189097526344703,7.733596227079723,10.760388234673158,15.314893946064302,True,680,TARGET_REACHED_BASELINE
BASELINE,3,8.4,8.782361096415329,0.0,8.782361096415329,30.199725160642185,7.510351943514585,7.4610060943713705,0.049345849143222154,16.29271303992992,7.892713039929921,0.9396086952297524,0.9396086952297524,15.045997865305976,inf,inf,False,680,TARGET_REACHED_BASELINE
IMPROVED,1,8.4,0.5049303758530925,0.0,0.5049303758530925,14.10997125698196,8.781377395076714,8.725925867484847,0.055451527591912964,9.286307770929852,0.8863077709298519,0.10551282987260141,0.10551282987260141,4.778658145234795,4.892518751323868,6.087876657577601,True,680,PREDICTED_STOPPING_DISTANCE
IMPROVED,2,8.4,0.6337464994380468,0.0,0.6337464994380468,14.700097374908834,7.71854422109791,7.66419115930475,0.054353061793165125,8.352290720535962,0.0477092794640388,0.005679676126671285,-0.005679676126671285,5.827127997205306,5.960645341133245,6.834771690663155,True,680,PREDICTED_STOPPING_DISTANCE
IMPROVED,3,8.4,1.135724864157595,0.0,1.135724864157595,18.55590108566903,7.386683549574683,7.335557613922148,0.05112593565256418,8.522408413732308,0.12240841373230715,0.014572430206227041,0.014572430206227041,6.617062145253274,7.177614855103705,7.1806140217023655,True,680,PREDICTED_STOPPING_DISTANCE
