mode,physics_frame,timestamp,viewpoint_step_index,state,state_after,leader_speed,leader_forward_speed,leader_lateral_speed,drive_force_magnitude,brake_force_magnitude,local_progress,drive_phase_progress,target_progress,remaining_progress,predicted_stopping_distance,brake_trigger_reason,support_gap,direct_support_present,communication_connected,communication_component_size,stationary_dwell,anchor_reached,nan_inf,outside_robot_count
BASELINE,85,1.4333333333333331,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,1.7997639079026613,1.7992837793498158,-0.04156928623037294,260.0,0.0,0.02998806298916179,0.02998806298916179,8.4,8.370011937010839,2.439395330850996,NONE,4.736240789913881,True,True,680,0,False,0,0
BASELINE,86,1.4499999999999997,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,5.075126088774554,5.0738773912948405,-0.11257457558066573,260.0,0.0,0.11455268617740444,0.11455268617740444,8.4,8.285447313822596,4.907459280811231,NONE,4.716865154200495,True,True,680,0,False,0,0
BASELINE,87,1.4666666666666663,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,9.315501782779993,9.314057146810171,-0.16405161057296938,260.0,0.0,0.2697869719575863,0.2697869719575863,8.4,8.130213028042414,7.016481432242574,NONE,4.733818071412542,True,True,680,0,False,0,0
BASELINE,88,1.483333333333333,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,14.10997125698196,14.108604233730189,-0.19640633601716467,260.0,0.0,0.5049303758530925,0.5049303758530925,8.4,7.895069624146908,8.781377395076714,NONE,4.791804531762382,True,True,680,0,False,0,0
BASELINE,89,1.4999999999999996,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,19.107005333767514,19.106206984055135,-0.17466398330220384,260.0,0.0,0.8233671589206892,0.8233671589206892,8.4,7.576632841079311,10.192762698608785,NONE,4.892518751323868,True,True,680,0,False,0,0
BASELINE,90,1.5166666666666662,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,24.009305906197582,24.00920499407372,-0.06961070262256779,260.0,0.0,1.2235205754885783,1.2235205754885783,8.4,7.176479424511422,11.23696922851372,NONE,5.036712092566385,True,True,680,0,False,0,0
BASELINE,91,1.5333333333333328,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,28.5729892481885,28.57269765420175,0.1290865549523587,260.0,0.0,1.699732203058602,1.699732203058602,8.4,6.700267796941398,11.921929013962664,NONE,5.225644070271247,True,True,680,0,False,0,0
BASELINE,92,1.5499999999999994,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,32.60738544041138,32.6048141796897,0.4094845143076734,260.0,0.0,2.2431457727200836,2.2431457727200836,8.4,6.156854227279917,12.25931514623693,NONE,5.458760036223407,True,True,680,0,False,0,0
BASELINE,93,1.566666666666666,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,35.97213466236268,35.964549185395335,0.7386975419171435,260.0,0.0,2.842554925809992,2.842554925809992,8.4,5.557445074190008,12.282459322946504,NONE,5.733042301370022,True,True,680,0,False,0,0
BASELINE,94,1.5833333333333326,1,VIEWPOINT_ADVANCE,VIEWPOINT_ADVANCE,38.572282698533286,38.557458368854824,1.0692972971057197,260.0,0.0,3.4851792319575736,3.4851792319575736,8.4,4.914820768042427,12.014488338279586,NONE,6.042706370999754,True,True,680,0,False,0,0
