map_case,frame,timestamp,old_profile_detected,new_55pct_detected,old_open_count,new_open_support_count,new_opening_count,comparison_only
M1_PRE_CORRIDOR_55PCT,0,0.016666666666666666,False,True,0,96,2,True
M1_PRE_CORRIDOR_55PCT,6,0.11666666666666665,False,True,0,96,2,True
M1_PRE_CORRIDOR_55PCT,12,0.21666666666666665,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,18,0.31666666666666665,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,24,0.41666666666666663,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,30,0.5166666666666666,False,True,0,98,2,True
M1_PRE_CORRIDOR_55PCT,36,0.6166666666666669,True,True,2,98,2,True
M1_PRE_CORRIDOR_55PCT,42,0.7166666666666672,True,True,2,98,2,True
M1_PRE_CORRIDOR_55PCT,48,0.8166666666666675,True,True,2,98,2,True
M1_PRE_CORRIDOR_55PCT,54,0.9166666666666679,True,True,2,98,2,True
M1_PRE_CORRIDOR_55PCT,60,1.016666666666668,True,True,2,98,2,True
M1_PRE_CORRIDOR_55PCT,66,1.1166666666666676,True,True,2,100,2,True
M1_PRE_CORRIDOR_55PCT,72,1.2166666666666672,True,True,2,102,2,True
M1_PRE_CORRIDOR_55PCT,78,1.3166666666666669,True,True,2,103,2,True
M1_PRE_CORRIDOR_55PCT,84,1.4166666666666665,True,True,2,106,2,True
M1_PRE_CORRIDOR_55PCT,90,1.5166666666666662,True,True,2,108,2,True
M1_PRE_CORRIDOR_55PCT,96,1.6166666666666658,True,True,2,112,2,True
M1_PRE_CORRIDOR_55PCT,102,1.7166666666666655,True,True,2,114,2,True
M1_PRE_CORRIDOR_55PCT,108,1.816666666666665,True,True,2,118,2,True
M1_PRE_CORRIDOR_55PCT,114,1.9166666666666647,True,True,2,119,2,True
M1_PRE_CORRIDOR_55PCT,120,2.0166666666666644,True,True,2,124,2,True
M1_PRE_CORRIDOR_55PCT,126,2.116666666666664,True,True,2,130,2,True
M1_PRE_CORRIDOR_55PCT,132,2.2166666666666637,True,True,2,136,2,True
M1_PRE_CORRIDOR_55PCT,138,2.3166666666666633,True,True,2,142,2,True
M1_PRE_CORRIDOR_55PCT,144,2.416666666666663,True,True,2,150,2,True
M1_PRE_CORRIDOR_55PCT,150,2.5166666666666626,True,True,2,157,2,True
M1_PRE_CORRIDOR_55PCT,156,2.6166666666666623,True,True,2,164,2,True
M1_PRE_CORRIDOR_55PCT,162,2.716666666666662,True,True,2,174,2,True
M1_PRE_CORRIDOR_55PCT,168,2.8166666666666615,True,True,2,183,2,True
M1_PRE_CORRIDOR_55PCT,174,2.916666666666661,True,True,2,193,2,True
M1_PRE_CORRIDOR_55PCT,180,3.016666666666661,True,True,2,198,3,True
M1_PRE_CORRIDOR_55PCT,186,3.1166666666666605,True,True,2,188,4,True
M1_PRE_CORRIDOR_55PCT,192,3.21666666666666,True,True,2,186,4,True
M1_PRE_CORRIDOR_55PCT,198,3.3166666666666598,True,True,2,184,4,True
M1_PRE_CORRIDOR_55PCT,204,3.4166666666666594,True,True,2,180,4,True
M1_PRE_CORRIDOR_55PCT,210,3.516666666666659,True,True,2,174,4,True
M1_PRE_CORRIDOR_55PCT,216,3.6166666666666587,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,222,3.7166666666666583,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,228,3.816666666666658,True,True,2,168,4,True
M1_PRE_CORRIDOR_55PCT,234,3.9166666666666576,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,240,4.016666666666658,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,246,4.116666666666657,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,252,4.216666666666657,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,258,4.316666666666657,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,264,4.416666666666656,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,270,4.516666666666656,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,276,4.616666666666656,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,282,4.716666666666655,True,True,2,172,4,True
M1_PRE_CORRIDOR_55PCT,288,4.816666666666655,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,294,4.9166666666666545,True,True,2,170,4,True
M1_PRE_CORRIDOR_55PCT,300,5.016666666666654,True,True,2,174,4,True
M1_PRE_CORRIDOR_55PCT,306,5.116666666666654,True,True,2,178,4,True
M1_PRE_CORRIDOR_55PCT,312,5.2166666666666535,True,True,2,184,4,True
M1_PRE_CORRIDOR_55PCT,318,5.316666666666653,True,True,2,186,4,True
M1_PRE_CORRIDOR_55PCT,324,5.416666666666653,True,True,2,186,4,True
M1_PRE_CORRIDOR_55PCT,330,5.516666666666652,True,True,2,191,4,True
M1_PRE_CORRIDOR_55PCT,336,5.616666666666652,True,True,2,194,4,True
M1_PRE_CORRIDOR_55PCT,342,5.716666666666652,True,True,2,195,2,True
M1_PRE_CORRIDOR_55PCT,348,5.816666666666651,True,True,2,187,2,True
M1_PRE_CORRIDOR_55PCT,354,5.916666666666651,True,True,2,179,2,True
M1_PRE_CORRIDOR_55PCT,360,6.016666666666651,True,True,2,172,2,True
M1_PRE_CORRIDOR_55PCT,366,6.11666666666665,True,True,2,164,2,True
M1_PRE_CORRIDOR_55PCT,372,6.21666666666665,True,True,2,158,2,True
